ID,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Property Link
rmh.com20772794,14000000000.0,Pasar Minggu,4,4,400 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pasar-minggu-jakarta-selatan-oleh-erik-ocasa-20772794
rmh.com21294831,18000000000.0,Patal Senayan,4,3,350 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-patal-senayan-jakarta-selatan-oleh-erik-ocasa-21294831
rmh.com21294495,6000000000.0,Bintaro,6,3,350 m²,SHGB - Hak Guna Bangunan,SOUTH,https://www.rumah.com/listing-properti/dijual-rempoa-bintaro-jakarta-selatan-oleh-bilas-pambudi-21294495
rmh.com21144873,6500000000.0,Ampera,6,5,260 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-dijual-rumah-jakarta-selatan-oleh-meyla-21144873
rmh.com21286767,13900000000.0,Pejaten,4,4,350 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pejaten-barat-jakarta-selatan-oleh-paula-elina-21286767
rmh.com21292290,7900000000.0,Kebayoran Baru,4,4,200 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-syaiful-anwar-21292290
rmh.com21291506,2876000000.0,Jagakarsa,4,5,240 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-greenleaf-jagakarsa-jakarta-selatan-oleh-ricky-wijaya-21291506
rmh.com21176617,19000000000.0,Pondok Indah,4,6,250 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-dian-21176617
rmh.com21288027,13118000000.0,Pondok Pinang,6,4,350 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pindok-pinang-jakarta-selatan-oleh-erik-ocasa-21288027
rmh.com21287910,9000000000.0,Pondok Indah,4,3,300 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-erik-ocasa-21287910
